"model_id","original_snapshot","development_origins","trial_milestone","sampler_seed","target","roles","best_trial_number_zero_based","best_objective","publication_model_file","publication_metadata_file","original_model_file","original_metadata_file","model_sha256","metadata_sha256","duplicate_model_of"
"HIST_MUT_L24_P","sx_hist",,,,"P","historical anchor",,,,"Models/HIST_MUT_L24_P_LGBM.meta.json",,"Models/sx_hist_LGBM_sheet1_P_Power_best.meta.json",,"dec913a0a078df93e9af53104c388d7c2f3b1e4aa37f40003bcf0499a9323089",
"HIST_MUT_L24_Q","sx_hist",,,,"Q","historical anchor",,,,"Models/HIST_MUT_L24_Q_LGBM.meta.json",,"Models/sx_hist_LGBM_sheet1_Q_Power_best.meta.json",,"a11a887c9c436f0f6a5950cd285b9365e2e517a23ec1e82c4e8c31cb2f9464cd",
"S24_T10_seed17_P","sx_norm_s17_t10","24","10","17","P","variance search; sampler-seed replication","0","0.5415158790668342","Models/S24_T10_seed17_P_LGBM.txt","Models/S24_T10_seed17_P_LGBM.meta.json","Models/sx_norm_s17_t10_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s17_t10_LGBM_sheet1_P_Power_best.meta.json","ab41cc6f2751e7b5b221e70f10abd5bd5a93623ee8895030e26c143d77be9ed5","2b2c5026040209c02b6de9bedc63ceb706200f2656c7c6a8619d09c8431f97ca","S24_T10_seed42_P"
"S24_T10_seed17_Q","sx_norm_s17_t10","24","10","17","Q","variance search; sampler-seed replication","0","0.5415158790668342","Models/S24_T10_seed17_Q_LGBM.txt","Models/S24_T10_seed17_Q_LGBM.meta.json","Models/sx_norm_s17_t10_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s17_t10_LGBM_sheet1_Q_Power_best.meta.json","0952abd5d58465b49b5ce689c23e79be260e49a3c1edf5374effd4a7559042b2","6c653c806d04aef47a522e53a956d0f084764440c9e1b7062630636ae4c3a82c","S24_T10_seed42_Q"
"S24_T10_seed42_P","sx_norm_t10","24","10","42","P","variance search; trial-depth comparison","0","0.5415158790668342","Models/S24_T10_seed42_P_LGBM.txt","Models/S24_T10_seed42_P_LGBM.meta.json","Models/sx_norm_t10_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_t10_LGBM_sheet1_P_Power_best.meta.json","ab41cc6f2751e7b5b221e70f10abd5bd5a93623ee8895030e26c143d77be9ed5","2ab8ef013bee93914b332945c1b476d1b96099fb0e22410b14502740adc05c95",
"S24_T10_seed42_Q","sx_norm_t10","24","10","42","Q","variance search; trial-depth comparison","0","0.5415158790668342","Models/S24_T10_seed42_Q_LGBM.txt","Models/S24_T10_seed42_Q_LGBM.meta.json","Models/sx_norm_t10_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_t10_LGBM_sheet1_Q_Power_best.meta.json","0952abd5d58465b49b5ce689c23e79be260e49a3c1edf5374effd4a7559042b2","ad70ead1e99473b5fbc90fb7f3876753bc86f86293d0b02b6eae3b7bfe45a21a",
"S24_T10_seed73_P","sx_norm_s73_t10","24","10","73","P","variance search; sampler-seed replication","4","0.5068901706000276","Models/S24_T10_seed73_P_LGBM.txt","Models/S24_T10_seed73_P_LGBM.meta.json","Models/sx_norm_s73_t10_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s73_t10_LGBM_sheet1_P_Power_best.meta.json","1d34964d8e6731b5dd8032597be70972527b7702bde7167ec94cca1a6d30c963","c0760ddb6f6b1c0bc393f8b4b855d9097df40504238badf063e6648ab22f70d0",
"S24_T10_seed73_Q","sx_norm_s73_t10","24","10","73","Q","variance search; sampler-seed replication","4","0.5068901706000276","Models/S24_T10_seed73_Q_LGBM.txt","Models/S24_T10_seed73_Q_LGBM.meta.json","Models/sx_norm_s73_t10_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s73_t10_LGBM_sheet1_Q_Power_best.meta.json","1bb90ab01ed636ff8d08ca49e9d842ec417c5d28b5e875959b317651dea75ba7","b37c3bba3cbbde6652b8d94a0e3b7198da9a9e0864d12b76daa37c1b8adae5ec",
"S24_T30_seed17_P","sx_norm_s17_t30","24","30","17","P","variance search; sampler-seed replication","27","0.5159508127830384","Models/S24_T30_seed17_P_LGBM.txt","Models/S24_T30_seed17_P_LGBM.meta.json","Models/sx_norm_s17_t30_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s17_t30_LGBM_sheet1_P_Power_best.meta.json","669f7d3b4cdf5110f4fdee6a0a2b1026ff2e5a94d67416a107d5896a1f29d7cd","8789b3d625236924d7d74aec1a47f17aa8c98ce193272ff01442663e0212e57c",
"S24_T30_seed17_Q","sx_norm_s17_t30","24","30","17","Q","variance search; sampler-seed replication","27","0.5159508127830384","Models/S24_T30_seed17_Q_LGBM.txt","Models/S24_T30_seed17_Q_LGBM.meta.json","Models/sx_norm_s17_t30_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s17_t30_LGBM_sheet1_Q_Power_best.meta.json","0a0c6b8f3baf6fbee77671b217c27df18b9ac56979a4c39389338e3d9e578088","2c3cbc2dced53c0baf00137554a68d2b419cae025d158325c2eacc03cfa391d3",
