configuration,origin,MSE_P,MSE_Q,MAE_P,MAE_Q,analysis_period,paired_normalized_squared_loss,CRPS_P,CRPS_Q,paired_normalized_CRPS
S24-T10,2022-01-01,88265.61233347376,6391.180902443829,254.79524125997457,69.68906208266165,primary_54,1.2576237481470147,196.0501665281387,47.783786875884346,0.6145015729473858
S24-T10,2022-01-02,9252.715134890734,2407.825747715057,81.58192736144947,39.166379784157286,primary_54,0.1482889882066069,52.56925643157916,35.428213928661485,0.21398068273506876
S24-T10,2022-01-03,55684.70178779308,37091.38663455583,214.46233727544268,154.62716307171937,primary_54,1.1064250155138362,156.8915261437451,112.69633060454838,0.6537671832627296
S24-T10,2022-01-04,10482.255933762492,19072.613704890526,77.71316309493189,114.74385482739414,primary_54,0.32275394784022693,55.83099122892403,75.88770841508857,0.31050727614909934
S24-T10,2022-01-05,8133.485830568266,15179.062769388422,70.19496238655252,104.27694157554045,primary_54,0.2540327908190858,53.33883138342219,70.22550462390569,0.29169750633879626
S24-T10,2022-01-06,20876.993851966003,23755.144537518252,110.79838461887555,122.85093062715409,primary_54,0.5080695741444372,83.31867439134821,94.66823307914169,0.42295081923462874
S24-T10,2022-01-07,49143.478918902976,59245.58261587811,171.91593327712096,186.0513522802619,primary_54,1.2274743990097066,124.215053439398,140.81961225619364,0.6298659881060829
S24-T10,2022-01-08,7109.249450089962,2941.2097344456665,70.21714171435057,44.26267924151323,primary_54,0.12426836872213659,51.93656752139979,34.116658166628625,0.20947938876404504
S24-T10,2022-01-09,46199.420174670115,39295.04401143919,173.92066780750085,138.07591493355025,primary_54,0.9986452860394637,122.63310915184664,107.44855449828854,0.5531369127391019
S24-T10,2022-01-10,5407.594734180436,8988.669670609044,54.45780957665165,80.50033645262329,primary_54,0.15844943368181313,41.352267289908326,49.99387461740241,0.2164629371342396
S24-T10,2022-01-11,9385.199185758414,5689.112877519484,81.71522135592,64.74710736027698,primary_54,0.18115441902495716,55.74761977984494,45.39875576439849,0.24395157421364805
S24-T10,2022-01-12,2934.8320593190942,13955.545443977697,42.228082750782875,98.66802601330062,primary_54,0.17194086091583957,40.44677607674637,74.985127418558,0.268481523459147
S24-T10,2022-01-13,35800.392490156686,6130.616683583851,159.40410310560685,71.26008322922551,primary_54,0.5435929149987054,107.45835314199248,52.38289079289978,0.39380727509789737
S24-T10,2022-01-14,21580.35794036676,41030.34623826014,120.43935775407294,138.32589482779255,primary_54,0.6811778742734594,93.56919238049996,116.00876159797618,0.4960773345116732
S24-T10,2022-01-15,58923.1017731198,6787.682235994027,205.44884405418134,67.94575717898226,primary_54,0.8634178647210308,145.88769557159847,46.74335375829812,0.4816101374689308
S24-T10,2022-01-16,10390.288096146674,1835.5778785291916,76.33127157435716,31.477237892375438,primary_54,0.15829912834779364,58.97797166959432,30.77310983665373,0.22054087278607137
