configuration,analysis_period,origin,timestamp,horizon,target,actual,prediction,error,fit_end,history_end,source_file
S24-T10,primary_54,2022-01-01,2022-01-01 00:00:00,1,P_Power,1941.3,1957.4681058085257,16.168105808525752,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 01:00:00,2,P_Power,1868.7,1886.5189568551868,17.818956855186798,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 02:00:00,3,P_Power,1818.0,1810.380046768848,-7.619953231152067,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 03:00:00,4,P_Power,1744.2,1792.06224620493,47.86224620492999,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 04:00:00,5,P_Power,1687.2,1767.8366651229062,80.63666512290615,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 05:00:00,6,P_Power,1733.4,1801.0072095921912,67.60720959219111,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 06:00:00,7,P_Power,1687.8,1834.2799409990887,146.47994099908942,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 07:00:00,8,P_Power,1692.0,1931.0461707176364,239.0461707176364,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 08:00:00,9,P_Power,1911.9,2249.905814567541,338.0058145675407,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 09:00:00,10,P_Power,1981.2,2516.551482668081,535.3514826680805,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 10:00:00,11,P_Power,2039.1,2539.723443267158,500.6234432671581,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 11:00:00,12,P_Power,2052.0,2492.061550590073,440.0615505900733,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 12:00:00,13,P_Power,2008.2,2378.431892056844,370.2318920568439,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 13:00:00,14,P_Power,2029.2,2394.5978137471748,365.3978137471747,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 14:00:00,15,P_Power,1965.9,2335.8294256507515,369.92942565075145,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 15:00:00,16,P_Power,1936.5,2338.6967221185787,402.1967221185787,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 16:00:00,17,P_Power,2000.7,2305.979021698134,305.2790216981341,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 17:00:00,18,P_Power,2031.6,2335.635352220276,304.0353522202763,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 18:00:00,19,P_Power,2021.4,2352.485568454791,331.085568454791,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 19:00:00,20,P_Power,2010.0,2297.245900177351,287.2459001773509,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 20:00:00,21,P_Power,2016.9,2279.664750406095,262.7647504060951,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 21:00:00,22,P_Power,1977.9,2259.406540595716,281.5065405957157,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 22:00:00,23,P_Power,1923.3,2177.7912027165494,254.49120271654945,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 23:00:00,24,P_Power,1824.0,1967.6400607726584,143.64006077265844,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 00:00:00,1,Q_Power,426.9,485.62278150053504,58.72278150053506,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 01:00:00,2,Q_Power,426.0,505.4317177308301,79.43171773083009,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 02:00:00,3,Q_Power,432.9,492.9171635499212,60.01716354992124,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
S24-T10,primary_54,2022-01-01,2022-01-01 03:00:00,4,Q_Power,444.9,506.0922174942427,61.1922174942427,2021-12-31 23:00:00,2021-12-31 23:00:00,_work/forecasting/predictions.csv
