origin,timestamp,horizon,analysis_period,actual_P_kW,actual_Q_kVAr,S24-T10_P_kW,S24-T10_Q_kVAr,S24-T30_P_kW,S24-T30_Q_kVAr,S24-T60_P_kW,S24-T60_Q_kVAr,S36-T60_P_kW,S36-T60_Q_kVAr,S48-T60_P_kW,S48-T60_Q_kVAr,SNaive-168_P_kW,SNaive-168_Q_kVAr,SNaive-24_P_kW,SNaive-24_Q_kVAr
2022-01-01,2022-01-01 00:00:00,1,primary_54,1941.3,426.9,1957.4681058085257,485.62278150053504,1963.1110545528368,460.5138148659464,1949.3311678869752,490.7980222636552,1938.3879803528955,489.7983042766408,1968.369409730478,501.78729599051366,2176.2,564.9,2178.6,601.2
2022-01-01,2022-01-01 01:00:00,2,primary_54,1868.7,426.0,1886.5189568551868,505.4317177308301,1903.8058973156744,473.567691524744,1929.125930010112,516.9562600997583,1898.9733161026109,508.22490054086046,1928.4719066738028,511.69148962851,2048.7,502.5,2120.1,595.5
2022-01-01,2022-01-01 02:00:00,3,primary_54,1818.0,432.9,1810.380046768848,492.9171635499212,1861.37156879762,476.64594685023553,1913.9906053226048,523.591102578522,1851.914287999964,513.4820567973686,1889.6688988051292,518.3356807932589,1957.2,475.8,2044.2,591.9
2022-01-01,2022-01-01 03:00:00,4,primary_54,1744.2,444.9,1792.06224620493,506.0922174942427,1862.392928383144,476.64464256190655,1915.640971717153,539.5582700772486,1853.2542933876248,517.7226194998193,1879.5924368845272,534.7889851217477,1976.1,492.6,2081.1,617.4
2022-01-01,2022-01-01 04:00:00,5,primary_54,1687.2,413.4,1767.8366651229062,470.066213988448,1884.482190567843,474.4830318154745,1921.53402323179,532.0007663476757,1855.516421693434,515.9716215690456,1863.4686483236535,530.5936725472586,1987.2,493.2,2067.3,610.2
2022-01-01,2022-01-01 05:00:00,6,primary_54,1733.4,423.6,1801.0072095921912,450.82393302850846,1936.3841121739213,462.55293209919824,1927.798548311408,506.6132732249136,1897.3319987560528,497.5023785747404,1912.176321189356,515.2531978109064,2018.4,490.8,2054.7,546.6
2022-01-01,2022-01-01 06:00:00,7,primary_54,1687.8,419.7,1834.2799409990887,403.51695510580913,1989.5794020522223,451.7630544249565,1935.959234842502,465.56905729537306,1942.723476768016,464.0547766426554,1928.847180826869,491.61297073215735,1920.9,420.0,2064.6,504.3
2022-01-01,2022-01-01 07:00:00,8,primary_54,1692.0,446.4,1931.0461707176364,410.6985542939517,2069.7113579794577,462.0887888237276,1982.9397266167691,461.36954221594686,1987.2139156939943,451.57043044562766,1959.4133475002943,465.27502688174326,1971.9,405.6,2111.4,471.6
2022-01-01,2022-01-01 08:00:00,9,primary_54,1911.9,575.7,2249.905814567541,539.944560776073,2333.083312492254,598.9581860648125,2250.773743362849,611.8903418977358,2289.268446642609,609.3358245493339,2245.3466861822494,619.2227993153859,2439.9,750.5999999999999,2412.6,650.4
2022-01-01,2022-01-01 09:00:00,10,primary_54,1981.2,578.4,2516.551482668081,653.3633197671085,2564.3880170263733,679.1353662519083,2475.262289019457,701.9280211152881,2509.441733551568,702.1399036723743,2481.0284733081417,723.7538965783555,2665.2,1011.0,2806.2,990.6
2022-01-01,2022-01-01 10:00:00,11,primary_54,2039.1,551.4,2539.723443267158,630.6057698151714,2605.2674725525617,668.7468059985538,2522.9948046680925,733.7553478374758,2563.871469796849,710.9735790856324,2529.36652135346,716.447775498903,2637.0,990.6,3002.1,1123.2
2022-01-01,2022-01-01 11:00:00,12,primary_54,2052.0,516.0,2492.061550590073,651.1906841709575,2612.9263077369405,648.759023279281,2544.775532529613,760.8370843659826,2559.225406676654,719.9688687508719,2545.023781191358,718.6281998060342,2639.1,988.5,2953.8,1187.7
2022-01-01,2022-01-01 12:00:00,13,primary_54,2008.2,486.3,2378.431892056844,604.1938160746138,2544.2282402240908,639.1985989469026,2491.081524672428,753.9450924157655,2511.4046083572557,707.0852377760871,2470.0043407733046,676.0094011791069,2550.3,964.2,2921.4,1126.8
2022-01-01,2022-01-01 13:00:00,14,primary_54,2029.2,496.8,2394.5978137471748,632.8945373136656,2560.5592407902213,667.305094219934,2496.487361993308,780.296789752079,2508.287678326232,720.6259530192854,2469.350673117126,699.6071745910585,2552.4,1000.5,2989.8,1216.8
2022-01-01,2022-01-01 14:00:00,15,primary_54,1965.9,483.6,2335.8294256507515,610.8215720082735,2560.007227816272,670.1372058717506,2474.896710940709,761.6754552842384,2489.008684565109,727.4879425966033,2408.4881357103804,683.433203248914,2455.8,921.3,2850.0,1082.7
2022-01-01,2022-01-01 15:00:00,16,primary_54,1936.5,451.5,2338.6967221185787,624.0213123206133,2527.864228539996,654.0922885301686,2405.470035164408,750.5757349242824,2455.4478372981616,690.7000930782044,2385.1917484783785,674.3282588972055,2587.5,925.5,2813.7,959.1
2022-01-01,2022-01-01 16:00:00,17,primary_54,2000.7,456.6,2305.979021698134,504.69899977908216,2473.78102728029,602.6001440432553,2362.4333829584266,643.5828810992551,2408.0538243348383,617.6735510483228,2378.1225215288378,612.0792680644334,2554.2,825.0,2772.0,788.4
2022-01-01,2022-01-01 17:00:00,18,primary_54,2031.6,448.8,2335.635352220276,492.4033774222536,2491.216926361893,571.6757622561378,2367.7568806419117,583.366213666943,2419.2834344272,582.1653527132992,2424.099978809703,584.0373083212081,2603.4,830.1,2617.2,547.5
2022-01-01,2022-01-01 18:00:00,19,primary_54,2021.4,436.5,2352.485568454791,503.2902302360467,2489.720411784414,569.6940550402471,2373.726381996093,552.9766404736527,2402.121895013647,567.5407296437827,2422.336648074129,559.8140078223225,2506.2,648.6,2571.9,513.0
2022-01-01,2022-01-01 19:00:00,20,primary_54,2010.0,453.3,2297.245900177351,489.7969342529545,2431.2128984937303,550.1791665981228,2357.216594319935,523.9523185932633,2369.611970228641,547.7317866164026,2390.5950243880284,535.2017804279675,2522.4,629.4000000000001,2580.6,512.4
2022-01-01,2022-01-01 20:00:00,21,primary_54,2016.9,455.1,2279.664750406095,511.6652405386412,2366.1222559056296,542.4900681512113,2295.9038573354237,524.7254675691272,2310.972284380597,527.9609054068987,2336.497377063205,531.6617697364047,2582.4,681.3,2468.1,496.5
