target,loss,model_id,significant_wins,significant_losses,net_wins,non_significant_pairs
P_Power,AE,LagDrop_LGBM,2,0,2,11
P_Power,AE,SFS_LGBM,0,0,0,13
P_Power,AE,SFS_LGBM_1,1,0,1,12
P_Power,AE,SFS_LGBM_2,0,0,0,13
P_Power,AE,SFS_shared_LGBM,0,0,0,13
P_Power,AE,mi_top_k_nolags_LGBM,0,7,-7,6
P_Power,AE,mutual_lags_LGBM_0,3,0,3,10
P_Power,AE,mutual_lags_LGBM_1,3,0,3,10
P_Power,AE,mutual_lags_LGBM_2,3,0,3,10
P_Power,AE,own_lags_LGBM_0,3,0,3,10
P_Power,AE,own_lags_LGBM_1,3,0,3,10
P_Power,AE,own_lags_LGBM_2,3,0,3,10
P_Power,AE,seasonal_naive_lag168,0,9,-9,4
P_Power,AE,seasonal_naive_lag24,1,6,-5,6
P_Power,CRPS,LagDrop_LGBM,1,0,1,12
P_Power,CRPS,SFS_LGBM,1,0,1,12
P_Power,CRPS,SFS_LGBM_1,1,0,1,12
P_Power,CRPS,SFS_LGBM_2,1,0,1,12
P_Power,CRPS,SFS_shared_LGBM,1,0,1,12
P_Power,CRPS,mi_top_k_nolags_LGBM,0,6,-6,7
P_Power,CRPS,mutual_lags_LGBM_0,3,0,3,10
P_Power,CRPS,mutual_lags_LGBM_1,4,0,4,9
P_Power,CRPS,mutual_lags_LGBM_2,2,1,1,10
P_Power,CRPS,own_lags_LGBM_0,3,0,3,10
P_Power,CRPS,own_lags_LGBM_1,3,0,3,10
P_Power,CRPS,own_lags_LGBM_2,3,0,3,10
P_Power,CRPS,seasonal_naive_lag168,0,12,-12,1
P_Power,CRPS,seasonal_naive_lag24,1,5,-4,7
P_Power,PB,LagDrop_LGBM,1,0,1,12
P_Power,PB,SFS_LGBM,1,0,1,12
P_Power,PB,SFS_LGBM_1,1,0,1,12
P_Power,PB,SFS_LGBM_2,1,0,1,12
P_Power,PB,SFS_shared_LGBM,1,0,1,12
P_Power,PB,mi_top_k_nolags_LGBM,0,6,-6,7
P_Power,PB,mutual_lags_LGBM_0,3,0,3,10
P_Power,PB,mutual_lags_LGBM_1,4,0,4,9
P_Power,PB,mutual_lags_LGBM_2,2,1,1,10
P_Power,PB,own_lags_LGBM_0,3,0,3,10
P_Power,PB,own_lags_LGBM_1,3,0,3,10
P_Power,PB,own_lags_LGBM_2,3,0,3,10
P_Power,PB,seasonal_naive_lag168,0,12,-12,1
P_Power,PB,seasonal_naive_lag24,1,5,-4,7
P_Power,SE,LagDrop_LGBM,1,0,1,12
P_Power,SE,SFS_LGBM,0,0,0,13
P_Power,SE,SFS_LGBM_1,1,0,1,12
P_Power,SE,SFS_LGBM_2,1,0,1,12
P_Power,SE,SFS_shared_LGBM,0,0,0,13
P_Power,SE,mi_top_k_nolags_LGBM,0,3,-3,10
P_Power,SE,mutual_lags_LGBM_0,2,0,2,11
P_Power,SE,mutual_lags_LGBM_1,3,0,3,10
P_Power,SE,mutual_lags_LGBM_2,1,0,1,12
P_Power,SE,own_lags_LGBM_0,2,0,2,11
P_Power,SE,own_lags_LGBM_1,2,0,2,11
P_Power,SE,own_lags_LGBM_2,2,0,2,11
P_Power,SE,seasonal_naive_lag168,0,9,-9,4
P_Power,SE,seasonal_naive_lag24,0,3,-3,10
Q_Power,AE,LagDrop_LGBM,1,3,-2,9
Q_Power,AE,SFS_LGBM,0,6,-6,7
Q_Power,AE,SFS_LGBM_1,0,6,-6,7
Q_Power,AE,SFS_LGBM_2,0,6,-6,7
Q_Power,AE,SFS_shared_LGBM,0,6,-6,7
Q_Power,AE,mi_top_k_nolags_LGBM,0,7,-7,6
Q_Power,AE,mutual_lags_LGBM_0,5,0,5,8
Q_Power,AE,mutual_lags_LGBM_1,6,0,6,7
Q_Power,AE,mutual_lags_LGBM_2,6,0,6,7
Q_Power,AE,own_lags_LGBM_0,7,0,7,6
Q_Power,AE,own_lags_LGBM_1,7,0,7,6
Q_Power,AE,own_lags_LGBM_2,7,0,7,6
Q_Power,AE,seasonal_naive_lag168,0,0,0,13
Q_Power,AE,seasonal_naive_lag24,0,5,-5,8
Q_Power,CRPS,LagDrop_LGBM,5,3,2,5
Q_Power,CRPS,SFS_LGBM,0,7,-7,6
Q_Power,CRPS,SFS_LGBM_1,0,7,-7,6
Q_Power,CRPS,SFS_LGBM_2,0,7,-7,6
Q_Power,CRPS,SFS_shared_LGBM,0,7,-7,6
Q_Power,CRPS,mi_top_k_nolags_LGBM,0,7,-7,6
Q_Power,CRPS,mutual_lags_LGBM_0,6,0,6,7
Q_Power,CRPS,mutual_lags_LGBM_1,6,0,6,7
Q_Power,CRPS,mutual_lags_LGBM_2,6,0,6,7
Q_Power,CRPS,own_lags_LGBM_0,7,0,7,6
Q_Power,CRPS,own_lags_LGBM_1,7,0,7,6
Q_Power,CRPS,own_lags_LGBM_2,7,0,7,6
Q_Power,CRPS,seasonal_naive_lag168,0,0,0,13
Q_Power,CRPS,seasonal_naive_lag24,0,6,-6,7
Q_Power,PB,LagDrop_LGBM,5,3,2,5
Q_Power,PB,SFS_LGBM,0,7,-7,6
Q_Power,PB,SFS_LGBM_1,0,7,-7,6
Q_Power,PB,SFS_LGBM_2,0,7,-7,6
